X,Y,Z,bio
550749.818,6342349.074,5.8964028,potato
549250.087,6342250.323,5.7705646,korn
548750.088,6342249.795,6.0173941,korn
548749.933,6342350.093,5.8822355,korn
551249.511,6342249.438,5.9716706,ingen
551248.979,6342348.989,5.9634981,ingen
548750.46,6341749.972,5.8839765,korn
549249.926,6341750.24,6.1263833,potato
549249.364,6341850.445,5.9967737,potato
548750.003,6341850.126,6.1175184,korn
548249.892,6341850.054,5.9825063,potato
548249.79,6341750.083,5.9965281,korn
549249.973,6341350.09,6.1718187,potato
549749.946,6341250.047,6.0348444,korn
549750.097,6341350.291,6.205934,korn
551750.241,6341249.185,5.7717485,korn
547325.139,6340749.768,5.8289838,korn
549750.159,6340750.372,6.3094678,potato
550249.621,6340724.833,6.4457421,korn
551249.896,6340349.838,5.569386,grass
551250.109,6340249.82,5.4043102,grass
550749.867,6340250.171,5.1417165,grass
550749.969,6340350.036,5.3877463,grass
551749.815,6339650.568,5.0085068,grass
550249.834,6339749.98,5.4259143,grass
550250.069,6339850.354,5.4252186,grass
552250.242,6339850.183,5.0542154,korn
548249.944,6339749.942,6.377502,korn
548250.259,6339850.503,6.1364608,korn
547249.729,6339750.428,6.0618906,korn
547250.964,6339851.562,6.0918422,korn
552250.164,6339349.913,4.7585969,grass
551750.126,6339249.722,4.7870002,grass
549750.15,6339350.294,5.8810296,grass
551249.924,6339250.206,4.7874312,korn
549249.923,6339375.214,7.2043638,grass
548750.129,6339250.124,7.0497417,grass
549249.887,6339249.985,7.0336466,grass
552249.824,6339250.177,4.6728954,grass
551749.898,6338749.53,4.7193165,korn
551749.38,6338848.876,4.7109771,korn
548749.873,6338749.904,7.2120271,grass
549249.737,6338750.257,7.4462543,grass
548750.191,6338850.315,7.2412748,grass
549249.933,6338849.962,7.2926445,grass
549749.862,6338850.015,6.5623045,grass
549750.164,6338749.843,6.2200079,grass
548749.705,6338249.707,7.0876508,grass
548750.042,6338350.157,7.0764647,grass
549751.564,6338249.3,6.1070905,grass
549749.8,6338350.217,6.6995497,fallow
552750.426,6337749.96,4.4680009,korn
552750.131,6337850.061,4.4990597,korn
552850.039,6337749.957,4.2406845,korn
548750.002,6337850.095,7.0055542,grass
549249.773,6337849.895,6.6902876,grass
549750.244,6337849.521,6.5225825,fallow
549249.987,6337750.003,6.2645297,grass
549749.851,6337749.87,6.6942787,grass
548749.874,6337750.104,6.2981596,grass
552250.185,6337649.518,5.2048974,grass
551249.914,6337250.266,5.9312701,korn
551249.83,6337349.996,5.9198694,korn
552249.867,6337250.386,4.9523497,korn
549250.221,6337249.883,6.3458447,grass
549249.816,6337350.082,6.395484,grass
548749.789,6337250.181,6.7407732,grass
548749.706,6337348.288,6.440773,grass
548249.508,6337249.473,6.8166943,grass
548249.699,6337349.209,6.5307302,grass
552750.06,6337249.908,4.6447606,grass
552249.687,6337349.969,4.8688374,korn
551224.852,6336750.108,5.6099744,grass
548749.932,6336750.348,6.5206714,korn
548749.904,6336849.771,6.363646,korn
550749.967,6336749.374,6.3061848,korn
550749.957,6336849.728,6.2887897,korn
547849.253,6336749.984,6.3639522,potato
550249.174,6336749.783,6.050477,grass
548350.06,6336249.927,5.380662,grass
548750.049,6336250.187,5.7952433,korn
549774.938,6336250.172,6.6400757,potato
550749.57,6336250.327,6.7393718,potato
548749.826,6336350.231,5.2593598,fallow
550274.864,6336350.12,6.027019,grass
551250.09,6335750.038,6.0869088,korn
550849.729,6335749.637,5.969511,grass
527750.027,6294749.878,23.881365,other
527749.978,6294349.766,20.951525,grass
527749.921,6293850.18,17.636715,fallow
526749.833,6293350.178,16.16663,grass
528250.001,6293350.05,20.273523,korn
524749.817,6292850.043,13.481995,grass
524750.114,6292750.256,13.47254,fallow
527250.344,6292349.915,20.215548,n/a
523749.994,6292350.212,14.504464,grass
525249.998,6292750.266,14.758198,grass
524725.135,6292350.013,15.740134,fallow
527249.931,6292250.047,19.468683,n/a
524249.774,6292250.113,15.427378,grass
524749.951,6292250.318,15.347943,grass
580661.929,6248062.991,12.758249,grass
581211.657,6247512.99,11.871513,grass
580386.901,6247513.179,12.3983,grass
581486.893,6247237.914,12.424497,korn
581211.819,6246688.084,11.545785,grass
580386.928,6246688.252,14.341115,korn
582312.028,6246137.905,11.658827,fallow
582312.089,6246412.909,12.557236,grass
582037.044,6245862.91,11.729889,grass
582586.787,6245588.093,12.428772,grass
